Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	TH	2	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	IL	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	3	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	TH	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	TH	1	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	PH	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 10.3	JP	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 18.7	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store browse		iPad	iOS 26.5	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 15.8	TH	2	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	4	3
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	2	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.5	JP	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store browse		iPad	iOS 26.5	JP	1	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.4	TW	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	2	2
2026-05-21	Rewire	6759087214	Tap	No page	App Store search	Get	iPhone	iOS 18.7	JP	1	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	NP	2	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.4	JP	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	1	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	TH	3	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store browse		iPad	iOS 16.6	JP	1	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	MN	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	IL	2	1
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	TH	2	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	5	3
2026-05-20	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.2	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-05-21	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	3	1
2026-05-22	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	5	3
