Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-04-19	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 16.7	JP	1	1
2026-04-18	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IN	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-04-19	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		Desktop	macOS 26.3	ID	3	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	1	1
2026-04-18	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	MX	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	7	6
2026-04-18	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	JP	1	1
2026-04-18	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	MX	1	1
2026-04-17	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	4	2
2026-04-17	Rewire	6759087214	Page view	App privacy	App Store browse		iPhone	iOS 26.3	JP	1	1
2026-04-19	Rewire	6759087214	Tap	Product page	App Store browse	Get	iPhone	iOS 26.3	JP	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.3	JP	2	1
2026-04-17	Rewire	6759087214	Page view	Developer page	App Store browse		iPhone	iOS 26.3	JP	1	1
2026-04-18	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 18.4	IN	1	1
2026-04-19	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	6	4
2026-04-18	Rewire	6759087214	Page view	Product page	Web referrer		iPhone	iOS 26.4	JP	1	1
2026-04-17	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-04-19	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.4	JP	2	2
2026-04-18	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	AE	1	1
