Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-01	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	KR	1	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-05-02	Rewire	6759087214	Tap	Product page	App Store browse	Re-download	iPhone	iOS 26.3	JP	1	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	IL	1	1
2026-05-02	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	CN	1	1
2026-05-01	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	IL	1	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	IL	2	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	2	2
2026-05-02	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TW	1	1
2026-05-02	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	2	2
2026-05-02	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	2	1
2026-05-01	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	2	2
2026-05-01	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-02	Rewire	6759087214	Tap	No page	App Store browse	Get	iPhone	iOS 26.3	JP	1	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	IL	1	1
2026-05-01	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	PH	1	1
2026-05-02	Rewire	6759087214	Tap	Product page	App Store browse	Open	iPhone	iOS 26.3	JP	2	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	KE	1	1
2026-05-03	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	1	1
2026-05-02	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	TW	1	1
