Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	UZ	1	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	US	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.1	IL	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	4	4
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	1	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	1	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	JP	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	2	2
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	4	4
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.3	TH	1	1
2026-05-14	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.2	TH	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	2	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	2	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	IL	1	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	2	2
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 15.8	JP	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	1	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	IL	1	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	TH	2	2
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	4	4
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JP	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.3	JP	1	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 17.6	TH	2	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	1	1
2026-05-15	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	1	1
2026-05-16	Rewire	6759087214	Page view	Store sheet	App referrer		iPhone	iOS 26.4	JP	1	1
2026-05-16	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	JP	2	2
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	CO	1	1
2026-05-14	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	1	1
2026-05-16	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 17.4	MN	1	1
