Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	IL	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.7	QA	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.5	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	17	5
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	2	1
2026-05-24	Rewire	6759087214	Tap	Product page	App Store browse	Get	iPhone	iOS 26.4	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	5	2
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	PH	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	TH	2	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.5	US	2	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	2	2
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	JP	1	1
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	TH	3	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JO	1	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 17.5	JP	1	1
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	TH	3	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	JP	1	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	2	2
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	5	4
2026-05-23	Rewire	6759087214	Tap	No page	App Store search	Get	iPhone	iOS 26.4	JP	2	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 18.7	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	5	2
2026-05-24	Rewire	6759087214	Tap	No page	App Store search	Open	iPhone	iOS 26.4	JP	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.7	CA	1	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JP	3	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	PH	1	1
2026-05-23	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	2	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.5	JP	2	1
2026-05-24	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	JP	4	1
2026-05-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	2	1
2026-05-24	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	JP	6	2
