Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 12.5	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.0	TH	1	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	TH	5	4
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	IL	1	1
2026-05-06	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.0	IL	1	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	SA	2	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	JP	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JO	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	IL	6	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	3	3
2026-05-05	Rewire	6759087214	Tap	Product page	App Store browse	Re-download	iPhone	iOS 26.4	JP	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	IL	1	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JO	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	3	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	4	2
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	3	2
2026-05-05	Rewire	6759087214	Tap	Product page	App Store browse	Open	iPhone	iOS 26.4	JP	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	2	2
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	5	3
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	JP	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-05-05	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	JP	2	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	3	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	TH	1	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 16.7	TH	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 17.6	IL	2	1
2026-05-04	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	2	1
2026-05-05	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	TH	1	1
