Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-04-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	HK	2	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		Desktop	macOS 26.4	JP	1	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	JP	1	1
2026-04-29	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	JP	1	1
2026-04-30	Rewire	6759087214	Tap	Product page	App Store browse	Re-download	iPad	iOS 26.3	JP	1	1
2026-04-28	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 26.3	CA	1	1
2026-04-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	AR	1	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	IL	1	1
2026-04-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	BR	1	1
2026-04-28	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	4	1
2026-04-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	5	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	JP	1	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 17.6	UZ	2	1
2026-04-30	Rewire	6759087214	Page view	Product page	App Store search		iPad	iOS 26.3	JP	1	1
2026-04-30	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	MA	1	1
2026-04-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
