Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	JP	4	3
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	1	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	TH	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	SA	1	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.5	JP	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.0	US	1	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 16.7	JP	1	1
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	2	2
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.7	CA	2	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.1	IL	1	1
2026-05-27	Rewire	6759087214	Tap	No page	App Store browse	Get	iPhone	iOS 26.4	JP	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.5	JP	2	2
2026-05-27	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	JP	2	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-05-29	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.1	PH	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	TH	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	4	2
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 16.6	JP	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPad	iOS 18.5	JP	3	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	US	1	1
2026-05-27	Rewire	6759087214	Tap	Product page	App Store browse	Get	iPhone	iOS 26.4	JP	1	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JO	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	IL	2	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	JP	1	1
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	PH	3	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	IL	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.5	TH	3	1
2026-05-27	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	1	1
2026-05-28	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	IL	7	5
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	US	1	1
2026-05-29	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.5	TH	4	3
