Date	App Name	App Apple Identifier	Event	Page Type	Source Type	Engagement Type	Device	Platform Version	Territory	Counts	Unique Counts
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.4	TH	1	1
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	IL	1	1
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.2	TH	2	1
2026-05-07	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JO	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	2	1
2026-05-08	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	AZ	2	1
2026-05-07	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	1	1
2026-05-07	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.4	JP	2	1
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	JP	2	2
2026-05-07	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	2	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	TH	5	3
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.1	IL	1	1
2026-05-06	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JO	1	1
2026-05-07	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.6	TH	1	1
2026-05-07	Rewire	6759087214	Impression	No page	App Store browse		iPhone	iOS 26.4	JP	1	1
2026-05-07	Rewire	6759087214	Tap	Product page	App Store browse	Get	iPhone	iOS 26.4	JP	1	1
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	4	3
2026-05-06	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	1	1
2026-04-25	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 18.7	ID	2	1
2026-04-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.3	JP	3	2
2026-04-25	Rewire	6759087214	Page view	App version history	App Store browse		iPhone	iOS 26.3	JP	1	1
2026-04-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 18.7	ID	2	1
2026-04-25	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	IL	1	1
2026-04-25	Rewire	6759087214	Page view	Product page	App Store search		iPhone	iOS 26.3	JP	6	1
2026-04-25	Rewire	6759087214	Impression	No page	App Store search		Desktop	macOS 26.4	JP	1	1
2026-05-08	Rewire	6759087214	Impression	No page	App Store search		iPhone	iOS 26.4	AZ	2	1
